captured_at,source_time,race_date,track,race_no,bet_type,combination,odds_low,odds_high,popularity,source_url
2026-09-20 13:17:02,13:16,2026-09-20,saga,1,ワイド,2-3,11.3,13.0,12,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/OddsWide?k_babaCode=32&k_raceDate=2026%2F09%2F20&k_raceNo=1
2026-09-20 13:17:02,13:16,2026-09-20,saga,1,ワイド,2-7,14.6,16.5,13,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/OddsWide?k_babaCode=32&k_raceDate=2026%2F09%2F20&k_raceNo=1
2026-09-20 13:17:02,13:16,2026-09-20,saga,1,ワイド,3-4,17.7,19.2,14,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/OddsWide?k_babaCode=32&k_raceDate=2026%2F09%2F20&k_raceNo=1
2026-09-20 13:17:02,13:16,2026-09-20,saga,1,ワイド,1-5,24.3,56.5,15,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/OddsWide?k_babaCode=32&k_raceDate=2026%2F09%2F20&k_raceNo=1
2026-09-20 13:17:02,13:16,2026-09-20,saga,1,ワイド,2-5,33.7,37.7,16,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/OddsWide?k_babaCode=32&k_raceDate=2026%2F09%2F20&k_raceNo=1
2026-09-20 13:17:02,13:16,2026-09-20,saga,1,ワイド,4-5,35.6,38.0,17,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/OddsWide?k_babaCode=32&k_raceDate=2026%2F09%2F20&k_raceNo=1
2026-09-20 13:17:02,13:16,2026-09-20,saga,1,ワイド,3-7,36.5,38.1,18,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/OddsWide?k_babaCode=32&k_raceDate=2026%2F09%2F20&k_raceNo=1
2026-09-20 13:17:02,13:16,2026-09-20,saga,1,ワイド,4-7,42.4,45.5,19,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/OddsWide?k_babaCode=32&k_raceDate=2026%2F09%2F20&k_raceNo=1
2026-09-20 13:17:02,13:16,2026-09-20,saga,1,ワイド,3-5,54.9,56.8,20,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/OddsWide?k_babaCode=32&k_raceDate=2026%2F09%2F20&k_raceNo=1
2026-09-20 13:17:02,13:16,2026-09-20,saga,1,ワイド,5-7,74.0,75.5,21,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/OddsWide?k_babaCode=32&k_raceDate=2026%2F09%2F20&k_raceNo=1
2026-09-20 13:17:02,13:16,2026-09-20,saga,1,三連複,1-2-6,4.8,4.8,1,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/Odds3LenFuku?k_babaCode=32&k_raceDate=2026%2F09%2F20&k_raceNo=1
