race_date,track,race_no,start_time,minutes_before,target_time,captured_at,capture_launch_time,offset_seconds,source_time,bet_type,combination,odds_low,odds_high,popularity,status,source_file,source_url
2026-09-20,saga,9,20:40,10,20:30:00,2026-09-20 20:30:00,20:30:00,0.0,20:29,三連複,7-8-13,5067.7,5067.7,303,success,saga_9R_m10_203000_odds.csv,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/Odds3LenFuku?k_babaCode=32&k_raceDate=2026%2F09%2F20&k_raceNo=9
2026-09-20,saga,9,20:40,10,20:30:00,2026-09-20 20:30:00,20:30:00,0.0,20:29,三連複,7-8-14,988.8,988.8,160,success,saga_9R_m10_203000_odds.csv,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/Odds3LenFuku?k_babaCode=32&k_raceDate=2026%2F09%2F20&k_raceNo=9
2026-09-20,saga,9,20:40,10,20:30:00,2026-09-20 20:30:00,20:30:00,0.0,20:29,三連複,7-8-9,1689.2,1689.2,204,success,saga_9R_m10_203000_odds.csv,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/Odds3LenFuku?k_babaCode=32&k_raceDate=2026%2F09%2F20&k_raceNo=9
2026-09-20,saga,9,20:40,10,20:30:00,2026-09-20 20:30:00,20:30:00,0.0,20:29,三連複,7-9-10,335.0,335.0,87,success,saga_9R_m10_203000_odds.csv,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/Odds3LenFuku?k_babaCode=32&k_raceDate=2026%2F09%2F20&k_raceNo=9
2026-09-20,saga,9,20:40,10,20:30:00,2026-09-20 20:30:00,20:30:00,0.0,20:29,三連複,7-9-11,1842.8,1842.8,213,success,saga_9R_m10_203000_odds.csv,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/Odds3LenFuku?k_babaCode=32&k_raceDate=2026%2F09%2F20&k_raceNo=9
2026-09-20,saga,9,20:40,10,20:30:00,2026-09-20 20:30:00,20:30:00,0.0,20:29,三連複,7-9-12,1621.6,1621.6,203,success,saga_9R_m10_203000_odds.csv,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/Odds3LenFuku?k_babaCode=32&k_raceDate=2026%2F09%2F20&k_raceNo=9
2026-09-20,saga,9,20:40,10,20:30:00,2026-09-20 20:30:00,20:30:00,0.0,20:29,三連複,7-9-13,2702.8,2702.8,238,success,saga_9R_m10_203000_odds.csv,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/Odds3LenFuku?k_babaCode=32&k_raceDate=2026%2F09%2F20&k_raceNo=9
2026-09-20,saga,9,20:40,10,20:30:00,2026-09-20 20:30:00,20:30:00,0.0,20:29,三連複,7-9-14,101.1,101.1,32,success,saga_9R_m10_203000_odds.csv,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/Odds3LenFuku?k_babaCode=32&k_raceDate=2026%2F09%2F20&k_raceNo=9
2026-09-20,saga,9,20:40,10,20:30:00,2026-09-20 20:30:00,20:30:00,0.0,20:29,三連複,8-10-11,3378.5,3378.5,268,success,saga_9R_m10_203000_odds.csv,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/Odds3LenFuku?k_babaCode=32&k_raceDate=2026%2F09%2F20&k_raceNo=9
2026-09-20,saga,9,20:40,10,20:30:00,2026-09-20 20:30:00,20:30:00,0.0,20:29,三連複,8-10-12,3685.6,3685.6,271,success,saga_9R_m10_203000_odds.csv,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/Odds3LenFuku?k_babaCode=32&k_raceDate=2026%2F09%2F20&k_raceNo=9
