track,track_code,race_no,minutes_before,target_time,started_at,finished_at,status,returncode
urawa,18,9,2,2026-09-22T17:43:00+09:00,2026-09-22T17:43:00.000519+09:00,2026-09-22T17:43:02.600416+09:00,success,0
kochi,31,6,5,2026-09-22T17:45:00+09:00,2026-09-22T17:45:00.000498+09:00,2026-09-22T17:45:03.561677+09:00,success,0
kochi,31,6,2,2026-09-22T17:48:00+09:00,2026-09-22T17:48:00.000471+09:00,2026-09-22T17:48:03.993709+09:00,success,0
urawa,18,10,30,2026-09-22T17:50:00+09:00,2026-09-22T17:50:00.000716+09:00,2026-09-22T17:50:02.737787+09:00,success,0
kochi,31,7,30,2026-09-22T17:50:00+09:00,2026-09-22T17:50:00.000495+09:00,2026-09-22T17:50:05.124370+09:00,success,0
kochi,31,7,15,2026-09-22T18:05:00+09:00,2026-09-22T18:05:00.000510+09:00,2026-09-22T18:05:03.241918+09:00,success,0
urawa,18,10,15,2026-09-22T18:05:00+09:00,2026-09-22T18:05:00.000705+09:00,2026-09-22T18:05:04.326232+09:00,success,0
kochi,31,7,10,2026-09-22T18:10:00+09:00,2026-09-22T18:10:00.000445+09:00,2026-09-22T18:10:05.203847+09:00,success,0
urawa,18,10,10,2026-09-22T18:10:00+09:00,2026-09-22T18:10:00.000602+09:00,2026-09-22T18:10:05.627543+09:00,success,0
urawa,18,10,5,2026-09-22T18:15:00+09:00,2026-09-22T18:15:00.000588+09:00,2026-09-22T18:15:04.729537+09:00,success,0
kochi,31,7,5,2026-09-22T18:15:00+09:00,2026-09-22T18:15:00.000442+09:00,2026-09-22T18:15:05.067719+09:00,success,0
kochi,31,7,2,2026-09-22T18:18:00+09:00,2026-09-22T18:18:00.000437+09:00,2026-09-22T18:18:02.803616+09:00,success,0
urawa,18,10,2,2026-09-22T18:18:00+09:00,2026-09-22T18:18:00.000578+09:00,2026-09-22T18:18:03.336346+09:00,success,0
kochi,31,8,30,2026-09-22T18:20:00+09:00,2026-09-22T18:20:00.000450+09:00,2026-09-22T18:20:04.787726+09:00,success,0
urawa,18,11,30,2026-09-22T18:25:00+09:00,2026-09-22T18:25:00.000640+09:00,2026-09-22T18:25:04.978345+09:00,success,0
kochi,31,8,15,2026-09-22T18:35:00+09:00,2026-09-22T18:35:00.000496+09:00,2026-09-22T18:35:02.991806+09:00,success,0
urawa,18,11,15,2026-09-22T18:40:00+09:00,2026-09-22T18:40:00.000816+09:00,2026-09-22T18:40:03.868099+09:00,success,0
kochi,31,8,10,2026-09-22T18:40:00+09:00,2026-09-22T18:40:00.000507+09:00,2026-09-22T18:40:04.228325+09:00,success,0
urawa,18,11,2,2026-09-22T18:53:00+09:00,2026-09-22T18:53:00.000636+09:00,2026-09-22T18:53:04.500999+09:00,success,0
urawa,18,12,30,2026-09-22T19:00:00+09:00,2026-09-22T19:00:00.000494+09:00,2026-09-22T19:00:00.763094+09:00,success,0
kochi,31,9,15,2026-09-22T19:05:00+09:00,2026-09-22T19:05:00.000448+09:00,2026-09-22T19:05:04.889367+09:00,success,0
kochi,31,9,10,2026-09-22T19:10:00+09:00,2026-09-22T19:10:00.000538+09:00,2026-09-22T19:10:03.961964+09:00,success,0
urawa,18,12,2,2026-09-22T19:28:00+09:00,2026-09-22T19:29:29.999011+09:00,2026-09-22T19:29:31.391193+09:00,success,0
kochi,31,10,15,2026-09-22T19:35:00+09:00,2026-09-22T19:35:00.000480+09:00,2026-09-22T19:35:03.327897+09:00,success,0
kochi,31,10,10,2026-09-22T19:40:00+09:00,2026-09-22T19:40:00.000400+09:00,2026-09-22T19:40:01.874304+09:00,success,0
kochi,31,10,5,2026-09-22T19:45:00+09:00,2026-09-22T19:45:00.000417+09:00,2026-09-22T19:45:02.751234+09:00,success,0
kochi,31,10,2,2026-09-22T19:48:00+09:00,2026-09-22T19:48:00.000409+09:00,2026-09-22T19:48:01.684457+09:00,success,0
kochi,31,11,15,2026-09-22T20:05:00+09:00,2026-09-22T20:05:00.000619+09:00,2026-09-22T20:05:01.690107+09:00,success,0
kochi,31,11,10,2026-09-22T20:10:00+09:00,2026-09-22T20:10:00.000541+09:00,2026-09-22T20:10:01.582413+09:00,success,0
kochi,31,11,5,2026-09-22T20:15:00+09:00,2026-09-22T20:15:00.000444+09:00,2026-09-22T20:15:02.469014+09:00,success,0
kochi,31,11,2,2026-09-22T20:18:00+09:00,2026-09-22T20:18:00.000463+09:00,2026-09-22T20:18:01.996771+09:00,success,0
kochi,31,12,30,2026-09-22T20:20:00+09:00,2026-09-22T20:20:00.000641+09:00,2026-09-22T20:20:02.050111+09:00,success,0
kochi,31,12,15,2026-09-22T20:35:00+09:00,2026-09-22T20:35:00.000529+09:00,2026-09-22T20:35:01.655911+09:00,success,0
kochi,31,12,10,2026-09-22T20:40:00+09:00,2026-09-22T20:40:00.000656+09:00,2026-09-22T20:40:02.934507+09:00,success,0
kochi,31,12,5,2026-09-22T20:45:00+09:00,2026-09-22T20:45:00.000508+09:00,2026-09-22T20:45:01.969656+09:00,success,0
kochi,31,12,2,2026-09-22T20:48:00+09:00,2026-09-22T20:48:00.000498+09:00,2026-09-22T20:48:02.128264+09:00,success,0
